Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Branching Logic (Show field only if...),Required Field?,cleaner_initials,Cleaned
allergies,baseline_worker,,radio,"S?ntomas de alergia o Problemas Inmune / <font color=""red"">Allergies or immune problems</font"">","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
allergies_onset,baseline_worker,,text,Allergies or immune problems -Date of Onset,,,,[allergies]='1',,,
allergies_recent,baseline_worker,,text,Allergies or immune problems -Most recent,,,,[allergies]='1',,,
allergies_doctor,baseline_worker,,radio,Allergies or immune problems -See a doctor,"1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[allergies]='1',,,
allergies_notes,baseline_worker,,notes,Allergies or immune problems -Notes,,,,[allergies]='1',,,
allergies_work,baseline_worker,,radio,Were the allergies or immune problems related to your work?,"1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[allergies]='1',,HMW,
immunity,baseline_worker,,radio,"Cualquiera de los siguientes factores que afectan a la inmunidad: VIH / SIDA, inmunodeficiencia combinada grave, inmunodeficiencia variable com?n, c?ncer, paciente trasplantado, enfermedades cong?nitas que afectan la inmunidad / <font color=""red"">Any of the following affecting immunity: HIV/AIDS, severe combined immunodeficiency, common variable immunodeficiency, cancer, transplant patient, congenital diseases affecting immunity</font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
immunity_diagnosis,baseline_worker,,text,"Date of diagnosis for any of the following affecting immunity HIV/AIDS, severe combined immunodeficiency, common variable immunodeficiency, cancer, transplant patient, congenital diseases affecting immunity?",,,,[immunity]='1',,,
immunity_doctor,baseline_worker,,radio,"Did you see a doctor for any of the following affecting immunity HIV/AIDS, severe combined immunodeficiency, common variable immunodeficiency, cancer, transplant patient, congenital diseases affecting immunity?","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[immunity]='1',,,
immunity_notes,baseline_worker,,notes,"Notes on any of the following affecting immunity: HIV/AIDS, severe combined immunodeficiency, common variable immunodeficiency, cancer, transplant patient, congenital diseases affecting immunity.",,,,[immunity]='1',,,
immunity_work,baseline_worker,,radio,"Were any of the following affecting immunity (HIV/AIDS, severe combined immunodeficiency, common variable immunodeficiency, cancer, transplant patient, congenital diseases affecting immunity) related to your work?","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[immunity]='1',,,
asthma,baseline_worker,"Ahora voy a leer una lista de art?culos, y por favor, det?ngame si alguna vez ha sido DIAGNOSTICO con las siguientes condiciones de salud? / <font color=""red"">I am now going to read a list of items, and please stop me if you have ever been DIAGNOSED with the following health conditions?</font>",radio,"Asma / <font color=""red"">Asthma</font"">","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
asthma_date,baseline_worker,,text,Asthma-Date of Diagnosis,,,,[asthma]='1',,,
asthma_recent,baseline_worker,,text,Asthma-Most recent,,,,[asthma]='1',,,
asthma_notes,baseline_worker,,notes,Asthma-Notes,,,,[asthma]='1',,,
asthma_work,baseline_worker,,radio,Do you believe it was related to your work?,"1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[asthma]='1',,HMW,
bronch_asthma,baseline_worker,,radio,"Asma bronquia / <font color=""red"">Bronchial Asthma</font"">","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
bronch_asthma_date,baseline_worker,,text,Bronchial Asthma-Date of Diagnosis,,,,[bronch_asthma]='1',,,
bronch_asthma_recent,baseline_worker,,text,Bronchial Asthma-Most recent,,,,[bronch_asthma]='1',,,
bronch_asthma_notes,baseline_worker,,notes,Bronchial Asthma - Notes,,,,[bronch_asthma]='1',,,
bronch_asthma_work,baseline_worker,,radio,Do you believe it was related to your work?,"1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[bronch_asthma]='1',,HMW,
bronchitis,baseline_worker,,radio,"Bronquitis / <font color=""red"">Bronchitis</font"">","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
bronchitis_date,baseline_worker,,text,Bronchitis-Date of Diagnosis,,,,[bronchitis]='1',,,
bronchitis_recent,baseline_worker,,text,Bronchitis-Most recent,,,,[bronchitis]='1',,,
bronchitis_notes,baseline_worker,,notes,Bronchitis-Notes,,,,[bronchitis]='1',,,
bronchitis_work,baseline_worker,,radio,Do you believe it was related to your work?,"1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[bronchitis]='1',,HMW,
pneumonia,baseline_worker,,radio,"Neumon?a / <font color=""red"">Pneumonia</font"">","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
pneumonia_date,baseline_worker,,text,pneumonia-Date of Diagnosis,,,,[pneumonia]='1',,,
pneumonia_recent,baseline_worker,,text,pneumonia-Most recent,,,,[pneumonia]='1',,,
pneumonia_notes,baseline_worker,,notes,pneumonia-Notes,,,,[pneumonia]='1',,,
pneumonia_work,baseline_worker,,radio,Do you believe it was related to your work?,"1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[pneumonia]='1',,HMW,
pleurisy,baseline_worker,,radio,"Pleures?a / <font color=""red"">Pleurisy</font"">","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
pleurisy_date,baseline_worker,,text,pleurisy-Date of Diagnosis,,,,[pleurisy]='1',,,
pleurisy_recent,baseline_worker,,text,pleurisy-Most recent,,,,[pleurisy]='1',,,
pleurisy_notes,baseline_worker,,notes,pleurisy-Notes,,,,[pleurisy]='1',,,
pleurisy_work,baseline_worker,,radio,Do you believe it was related to your work?,"1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[pleurisy]='1',,HMW,
parasites,baseline_worker,,radio," Par?sitos, anquilostoma / <font color=""red"">Parasites</font"">","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
parasites_date,baseline_worker,,text,parasites-Date of Diagnosis,,,,[parasites]='1',,,
parasites_recent,baseline_worker,,text,parasites-Most recent,,,,[parasites]='1',,,
parasites_notes,baseline_worker,,notes,parasites-Notes,,,,[parasites]='1',,,
parasites_work,baseline_worker,,radio,Do you believe it was related to your work?,"1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[parasites]='1',,HMW,
tb,baseline_worker,,radio,"Tuberculosis / <font color=""red"">Tuberculosis</font"">","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
tb_date,baseline_worker,,text,tb-Date of Diagnosis,,,,[tb]='1',,,
tb_recent,baseline_worker,,text,tb-Most recent,,,,[tb]='1',,,
tb_notes,baseline_worker,,notes,tb-Notes,,,,[tb]='1',,,
tb_work,baseline_worker,,radio,Do you believe it was related to your work?,"1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[tb]='1',,HMW,
eczema,baseline_worker,,radio,"Eccema / <font color=""red"">Eczema</font"">","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
eczema_date,baseline_worker,,text,eczema-Date of Diagnosis,,,,[eczema]='1',,,
eczema_recent,baseline_worker,,text,eczema-Most recent,,,,[eczema]='1',,,
eczema_notes,baseline_worker,,notes,eczema-Notes,,,,[eczema]='1',,,
eczema_work,baseline_worker,,radio,Do you believe it was related to your work?,"1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[eczema]='1',,HMW,
dermatitis,baseline_worker,,radio,"Dermatitis / <font color=""red"">Dermatitis</font"">","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
dermatitis_date,baseline_worker,,text,dermatitis-Date of Diagnosis,,,,[dermatitis]='1',,,
dermatitis_recent,baseline_worker,,text,dermatitis-Most recent,,,,[dermatitis]='1',,,
dermatitis_notes,baseline_worker,,notes,dermatitis-Notes,,,,[dermatitis]='1',,,
dermatitis_work,baseline_worker,,radio,Do you believe it was related to your work?,"1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[dermatitis]='1',,HMW,
pneumoco,baseline_worker,,radio,"Neumoconiosis / <font color=""red"">Pneumoconiosis</font"">","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
pneumoco_date,baseline_worker,,text,pneumoco-Date of Diagnosis,,,,[pneumoco]='1',,,
pneumoco_recent,baseline_worker,,text,pneumoco-Most recent,,,,[pneumoco]='1',,,
pneumoco_notes,baseline_worker,,notes,pneumoco-Notes,,,,[pneumoco]='1',,,
pneumoco_work,baseline_worker,,radio,Do you believe it was related to your work?,"1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[pneumoco]='1',,HMW,
diabetes,baseline_worker,,radio,"Tiroides o diabetes / <font color=""red"">Diabetes</font"">","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,AS,
diabetes_date,baseline_worker,,text,Diabetes-Date of Diagnosis,,,,[diabetes]='1',,AS,
diabetes_recent,baseline_worker,,text,Diabetes-Most recent,,,,[diabetes]='1',,AS,
diabetes_notes,baseline_worker,,notes,Diabetes-Notes,,,,[diabetes]='1',,AS,
diabetes_work,baseline_worker,,radio,Do you believe it was related to your work?,"1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[diabetes]='1',,AS,
flu,baseline_worker,,radio,"Gripa / <font color=""red"">Flu</font"">","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
flu_date,baseline_worker,,text,flu-Date of Diagnosis,,,,[flu]='1',,,
flu_recent,baseline_worker,,text,flu-Most recent,,,,[flu]='1',,,
flu_notes,baseline_worker,,notes,flu-Notes,,,,[flu]='1',,,
flu_work,baseline_worker,,radio,Do you believe it was related to your work?,"1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[flu]='1',,HMW,
other_dx,baseline_worker,,radio,"Otros problemas en el pecho<font color=""blue"">Other_dx</font"">","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
other_dx_date,baseline_worker,,text,Other_dx-Date of Diagnosis,,,,[other_dx]='1',,,
other_dx_recent,baseline_worker,,text,Other_dx-Most recent,,,,[other_dx]='1',,,
other_dx_notes,baseline_worker,,notes,Other_dx-Notes,,,,[other_dx]='1',,,
other_dx_work,baseline_worker,,radio,Do you believe it was related to your work?,"1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[other_dx]='1',,HMW,
better_away,baseline_worker,,radio,"Si usted contest? ""s?"" arriba a creer que la condici?n estaba relacionada con el trabajo, ?Se mejora cuando est?s lejos del trabajo?<font color=""red"">If you answered yes to any of the conditions above being work related, does it get better when you are away from work? </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
better_away_notes,baseline_worker,,notes,"If the symptoms get better away from work, please describe here:",,,,[better_away] = '1',,,
bowel,baseline_worker,,radio,"?Cuantas veces tienes que ir al bano (defecacion) en un dia? / <font color=""red"">How many times do you have a bowel movement in an average day?</font>","0, Menos de una / <font color=""red"">Less than One</font> | 1, Una / <font color=""red"">One</font> | 2, Dos / <font color=""red"">Two</font> | 3, Tres / <font color=""red"">Three</font> | 4, Cuatro / <font color=""red"">Four</font> | 5, Cinco o mas / <font color=""red"">Five or more</font>",,,,,,
bowel_quality,baseline_worker,,radio,"Describe la calidad de tus deposiciones / <font color=""red"">Describe the quality of your bowel movements</font>","1, Yo tengo estre?imiento (Tengo dificultades para pasar las heces) / <font color=""red"">I tend to be constipated (have difficulty passing stool) - Type 1 and 2 </font> | 2, Yo tengo diarrea (heces aguado) / <font color=""red"">I tend to have diarrhea (watery stool) - Type 5,6,7</font> | 3, Yo tengo heces formadas normales / <font color=""red"">I tend to have normal formed stool - Type 3 and 4 </font>",,,,,,
resp_symp_work,baseline_worker,,checkbox,"?Experimenta s?ntomas respiratorios (por ejemplo, tos seca, sibilancias en el pecho, tos con flema, dificultad para respirar) m?s en el trabajo que cuando no est? en el trabajo? / <font color=""red"">Do you experience respiratory symptoms (eg, dry cough, wheezing, coughing with phlegm, shortness of breath) more at work than when not at work? </font>","0, Ninguna / <font color=""red"">None</font> | 1, Tos seca  / <font color=""red"">Dry cough</font> | 2, Sibilancias en el pech / <font color=""red"">Wheezing in chest</font> | 3, Tos con flema / <font color=""red"">Cough with phlegm</font> | 4, Dificultades para respirar  / <font color=""red"">Shortness of breath</font> | 5, El pecho aprietado / <font color=""red"">Tightening of Chest</font>",,,,,HMW,
cough,baseline_worker,,radio,"?Normalmente tiene tos? (Cuente una tos con el primer humo o al salir por primera vez afuera. Excluir la claridad de la garganta o una sola tos.)<font color=""red"">Do you usually have a cough? (Count a cough with first smoke or on first going out of doors. Exclude clearing throat or a single cough.) </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
cough_frequent,baseline_worker,,radio,"?T? toses generalmente como 4 a 6 veces al d?a, 4 o m?s d?as de la semana?<font color=""red"">Do you usually cough as much as 4 to 6 times a day, 4 or more days out of the week? </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[cough] = '1',,,
cough_morning,baseline_worker,,radio,"?T? toses generalmente cuando te levantas, o premier mente en la manana?/<font color=""red"">Do you usually cough at all on getting up, or first thing in the morning? </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[cough] = '1',,,
cough_all_day,baseline_worker,,radio,"?T? toses en general durante el resto del d?a o de la noche?/<font color=""red"">Do you usually cough at all during the rest of the day or night? </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[cough] = '1',,,
cough_3days,baseline_worker,,radio,"?Usted tose como esto en la mayor?a de los d?as por 3 consecutivos?<font color=""red""> Do you cough like this on most days for 3 consecutive? </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[cough] = '1',,,
cough_phlegm_chest,baseline_worker,,radio,"?Por lo general saca flema de su pecho, no de la parte posterior de su nariz? (Excluya la flema de la nariz)/<font color=""red"">Do you usually bring up phlegm from your chest, not from the back of your nose? (Count phlegm with the first smoke or on first going out-of-doors. Exclude phlegm from the nose. Count swallowed phlegm.) </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,,
cough_twice_day,baseline_worker,,radio,"?Por lo general trae flema as? como dos veces al d?a, 4 o m?s d?as de la semana?/<font color=""red"">Do you usually bring up phlegm like this as much as twice a day, 4 or more days out of the week? </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[cough_phlegm_chest] = '1',,,
cough_phlegm_morning,baseline_worker,,radio,"?Por lo general usted levanta flegma al levantarse, o lo primero en la ma?ana?/<font color=""red"">Do you usually bring up phlegm at all on getting up, or first thing in the morning? </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[cough_phlegm_chest] = '1',,,
cough_phlegm_day,baseline_worker,,radio,"?Por lo general usted trae flegma durante todo el resto del d?a o por la noche?/<font color=""red"">Do you usually bring up phlegm at all during the rest of the day or at night? </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[cough_phlegm_chest] = '1',,,
cough_phlegm_3months,baseline_worker,,radio,"?Usted trae flegma como esto en la mayor?a de los d?as por 3 meses consecutivos o m?s durante el a?o?/<font color=""red"">Do you bring up phlegm like this on most days for 3 consecutive months or more during the year? </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[cough_phlegm_chest] = '1',,,
shortness_breath,baseline_worker,,radio,"?Est? usted preocupado por la falta de aliento cuando se apresura a caminar por un peque?o cerro?  /<font color=""red"">Are you troubled by shortness of breath when hurrying on the level or walking up a slight hill? </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
walk_slower,baseline_worker,,radio,"?Tiene que caminar m?s lento que las personas de su edad debido a la falta de aire?     /<font color=""red"">Do you have to walk slower than people of your age on the level because of breathlessness </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,,
stop_for_breath,baseline_worker,,radio,"?Alguna vez tiene que parar para respirar despu?s de caminar unos 100 metros (o despu?s de unos minutos) en el nivel?  /<font color=""red"">Do you ever have to stop for breath after walking about 100 yds(or after a few minutes) on the level? </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,,
shortness_breath_yrs,baseline_worker,,text,"?Por cu?ntos a?os ha tenido esta falta de aire?
 # de anos_____/<font color=""red"">For how many years have you had this shortness of breath?  </font>",,,,,,,
breathless_dressing,baseline_worker,,radio,"?Est? usted demasiado sin aliento para salir de la casa o sin aliento en vestirse o desvestirse?   /<font color=""red"">Are you too breathless to leave the house or breathless on dressing or undressing? </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,,
chest_tight,baseline_worker,,radio,"?Su pecho se siente apretado o su respiraci?n se vuelve dif?cil?/<font color=""red"">Does your chest ever feel tight or your breathing become difficult? </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
zoonotic_dx,baseline_worker,,radio,"?Le han diagnosticado una enfermedad que su doctor dijo que usted pudo haber contra?do de los animales?/<font color=""red"">Have you been diagnosed with a disease that your doctor said you may have contracted from animals?   </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,,,HMW,
zoonotic_dx_text,baseline_worker,,text,"S? si ?qu? enfermedad (s)/<font color=""red"">If yes, what disease? </font>",,,,[zoonotic_dx] = '1',,,
zoonotic_dx_md,baseline_worker,,radio,"S? si, ?cree usted que su m?dico estaba adecuadamente informado sobre pat?genos que podr?an transmitirse de animales acu?ticos?/<font color=""red"">If yes, do you believe your doctor was adequately informed about pathogens that could be transmitted from animals? </font>","1, S&#237 / <font color=""red"">Yes</font> | 2, No / <font color=""red""> No</font> | 77, No s&#233/No estoy seguro / <font color=""red""> Unsure</font> | 99, No quiero contester//<font color=""red"">Refused</font>",,,[zoonotic_dx] = '1',,,
med1,baseline_worker,"En los ?ltimos 6 meses, ?qu? medicamentos - incluidos los m?todos tradicionales (remedios) - han tomado y para qu? s?ntomas?/<font color=""red"">In the past 6 months, what medications - including traditional methods (remedies) - have you taken and for what symptoms? </font>",text,med1,,,,,,,
med1_reason,baseline_worker,,text,med1_reason,,,,,,,
med2,baseline_worker,,text,med2,,,,,,,
med2_reason,baseline_worker,,text,med2_reason,,,,,,,
med3,baseline_worker,,text,med3,,,,,,,
med3_reason,baseline_worker,,text,med3_reason,,,,,,,
med4,baseline_worker,,text,med4,,,,,,,
med4_reason,baseline_worker,,text,med4_reason,,,,,,,
med5,baseline_worker,,text,med5,,,,,,,
med5_reason,baseline_worker,,text,med5_reason,,,,,,,
med6,baseline_worker,,text,med6,,,,,,,
med6reason,baseline_worker,,text,med6reason,,,,,,,
vit1,baseline_worker," En los ?ltimos 6 meses, ?qu? medicamentos - incluidos los m?todos tradicionales (remedios) - han tomado y para qu? s?ntomas?/<font color=""red"">?         In the past 6 months, have you taken any vitamins or probiotics for your health? </font>",text,vit1,,,,,,,
vit1_reason,baseline_worker,,text,vit1_reason,,,,,,,
vit2,baseline_worker,,text,vit2,,,,,,,
vit2_reason,baseline_worker,,text,vit2_reason,,,,,,,
vit3,baseline_worker,,text,vit3,,,,,,,
vit3_reason,baseline_worker,,text,vit3_reason,,,,,,,
gender,baseline_worker,Demographics,radio,"?Cu?l es su g?nero?/<font color=""red"">What is your gender? </font>","1, Masculino /<font color=""red""> Male </font> | 2, Feminino/<font color=""red"">Female </font> | 3, Otro...especifique, por favor/<font color=""red""> Other, please specify </font>",,,,,AS,
gender_other,baseline_worker,,text,Gender - other,,,,,,AS,
age,baseline_worker,,text,"?Cual es tu edad?__________ a?os/<font color=""red"">How old are you? </font>",,,,,,HMW,
yrs_school,baseline_worker,,text,"Aproximadamente cu?ntos a?os de escuela has completado? ______ /<font color=""red"">Approximately how many years of school have you completed?  (Enter 99 if ""Don't Know"" or ""Refused"".) </font>",,,,,,HMW,
highest_degree,baseline_worker,,checkbox,"?Qu? licenciatura m?s alto (s) ha recibido?/<font color=""red"">What is the highest degree you have received? </font>","0, No degree | 1, High School / GED | 2, Associate's degree | 3, Bachelor's degree | 4, Master's degree | 5, PhD | 6, DVM / VMD / Other veterinary medical degree | 7, MD / DO / other medical degree",,,,,,
race,baseline_worker,,checkbox,"?Qu? grupo describe mejor su raza / etnia?/<font color=""red"">What group best describes your race/ethnicity? </font>","01, White Non - hispanic | 02, Black Non - Hispanic | 03, White Hispanic | 04, Black Hispanic | 05, Asian | 06, American Indian / Alaska Native | 07, Native Hawaiian and other Pacific Islander | 77, Refused | 97, Other | 99, Don't Know",,,,,HMW,
race_other,baseline_worker,,text,"If other race, please specify",,,,,,,
home_type,baseline_worker,,radio,"?En este momento vives?/<font color=""red"">Do you currently live in  </font>","1, Un hogar permanente / <font color=""red"">A House</font> | 2, Apartamento / <font color=""red"">An Apartment/Condo</font> | 3, Dormitorio / <font color=""red"">Dorm</font> | 97, Otro...especifique / <font color=""red"">Other</font>",,,,,,
home_type_other,baseline_worker,,text,If other home please specify,,,,[home_type] = '97',,,
